year,date,tournament,h_team,a_team,h_elo,a_elo,h_score,a_score,location,neutral,,,,,,,,,,,,
2018,June 1,Friendly,Colombia,Egypt,1934,1641,0,0,in Italy,Yes,,,,,,,,,,,,Yes
2018,June 1,Friendly,France,Italy,1986,1901,3,1,in France,No,,,,,,,,,,,,No
2018,June 1,Friendly,Georgia,Malta,1504,1208,1,0,in Austria,Yes,,,,,,,,,,,,Yes
2018,June 1,Friendly tournament,India,Taiwan,1149,996,5,0,in India,No,,,,,,,,,,,,No
2018,June 1,Friendly,South Korea,Bosnia and Herzegovina,1750,1724,1,3,in South Korea,No,,,,,,,,,,,,No
2018,June 1,Friendly,Turkey,Tunisia,1729,1656,2,2,in Switzerland,Yes,,,,,,,,,,,,Yes
2018,June 2,Friendly,Austria,Germany,1731,2092,2,1,in Austria,No,,,,,,,,,,,,No
2018,June 2,Friendly,Belgium,Portugal,1930,1966,0,0,in Belgium,No,,,,,,,,,,,,No
2018,June 2,Friendly,Honduras,El Salvador,1604,1457,0,1,in the United States,Yes,,,,,,,,,,,,Yes
2018,June 2,Friendly,England,Nigeria,1941,1696,2,1,in England,No,,,,,,,,,,,,No
2018,June 2,Friendly,Iceland,Norway,1788,1614,2,3,in Iceland,No,,,,,,,,,,,,No
2018,June 2,Friendly,Ireland,United States,1720,1763,2,1,in Ireland,No,,,,,,,,,,,,No
2018,June 2,Friendly tournament,New Zealand,Kenya,1514,1367,1,2,in India,Yes,,,,,,,,,,,,Yes
2018,June 2,Baltic Cup,Latvia,Estonia,1343,1516,1,0,in Latvia,No,,,,,,,,,,,,No
2018,June 2,COSAFA Cup,Eswatini,Lesotho,1315,1258,0,1,in South Africa,Yes,,,,,,,,,,,,Yes
2018,June 2,Friendly,Mexico,Scotland,1857,1714,1,0,in Mexico,No,,,,,,,,,,,,No
2018,June 2,Friendly,Montenegro,Slovenia,1617,1606,0,2,in Montenegro,No,,,,,,,,,,,,No
2018,June 2,COSAFA Cup,Zambia,Namibia,1470,1372,0,0,in South Africa,Yes,,,,,,,,,,,,Yes
2018,June 2,Friendly tournament,Niger,Uganda,1292,1436,2,1,in Niger,No,,,,,,,,,,,,No
2018,June 2,World Football Cup,Northern Cyprus,Tibet,1456,631,3,1,in England,Yes,,,,,,,,,,,,Yes
2018,June 2,Friendly,Sweden,Denmark,1796,1843,0,0,in Sweden,No,,,,,,,,,,,,No
2018,June 2,Friendly,Thailand,China,1396,1521,0,2,in Thailand,No,,,,,,,,,,,,No
2018,June 3,Friendly,Cape Verde,Andorra,1444,1026,0,0,in Portugal,Yes,,,,,,,,,,,,Yes
2018,June 3,Friendly,Barbados,Belize,1136,1169,0,0,in Barbados,No,,,,,,,,,,,,No
2018,June 3,COSAFA Cup,Zimbabwe,Botswana,1451,1316,1,1,in South Africa,Yes,,,,,,,,,,,,Yes
2018,June 3,Friendly,Brazil,Croatia,2130,1853,2,0,in England,Yes,,,,,,,,,,,,Yes
2018,June 3,Friendly,Costa Rica,Northern Ireland,1744,1686,3,0,in Costa Rica,No,,,,,,,,,,,,No
